A00,"Cholera"
V4303,"Car driver injured in collision with pick-up truck in nontraffic accident"
V4304,"Car driver injured in collision with van in nontraffic accident"
V431,"Car passenger injured in collision with car, pick-up truck or van in nontraffic accident"
V4311,"Car passenger injured in collision with sport utility vehicle in nontraffic accident"
V4312,"Car passenger injured in collision with other type car in nontraffic accident"
V4313,"Car passenger injured in collision with pick-up in nontraffic accident"
V4314,"Car passenger injured in collision with van in nontraffic accident"
V432,"Person on outside of car injured in collision with car, pick-up truck or van in nontraffic accident"
V4321,"Person on outside of car injured in collision with sport utility vehicle in nontraffic accident"
V4322,"Person on outside of car injured in collision with other type car in nontraffic accident"
V4323,"Person on outside of car injured in collision with pick-up truck in nontraffic accident"
V4324,"Person on outside of car injured in collision with van in nontraffic accident"
V433,"Unspecified car occupant injured in collision with car, pick-up truck or van in nontraffic accident"
V4331,"Unspecified car occupant injured in collision with sport utility vehicle in nontraffic accident"
V4332,"Unspecified car occupant injured in collision with other type car in nontraffic accident"
V4333,"Unspecified car occupant injured in collision with pick-up truck in nontraffic accident"
V4334,"Unspecified car occupant injured in collision with van in nontraffic accident"
V434,"Person boarding or alighting a car injured in collision with car, pick-up truck or van"
V4341,"Person boarding or alighting a car injured in collision with sport utility vehicle"
V4342,"Person boarding or alighting a car injured in collision with other type car"
V4343,"Person boarding or alighting a car injured in collision with pick-up truck"
V4344,"Person boarding or alighting a car injured in collision with van"
V435,"Car driver injured in collision with car, pick-up truck or van in traffic accident"
V4351,"Car driver injured in collision with sport utility vehicle in traffic accident"
V4352,"Car driver injured in collision with other type car in traffic accident"
V4353,"Car driver injured in collision with pick-up truck in traffic accident"
V4354,"Car driver injured in collision with van in traffic accident"
V436,"Car passenger injured in collision with car, pick-up truck or van in traffic accident"
V4361,"Car passenger injured in collision with sport utility vehicle in traffic accident"
V4362,"Car passenger injured in collision with other type car in traffic accident"
V4363,"Car passenger injured in collision with pick-up truck in traffic accident"
V4364,"Car passenger injured in collision with van in traffic accident"
V437,"Person on outside of car injured in collision with car, pick-up truck or van in traffic accident"
V4371,"Person on outside of car injured in collision with sport utility vehicle in traffic accident"
V4372,"Person on outside of car injured in collision with other type car in traffic accident"
V4373,"Person on outside of car injured in collision with pick-up truck in traffic accident"
V4374,"Person on outside of car injured in collision with van in traffic accident"
V439,"Unspecified car occupant injured in collision with car, pick-up truck or van in traffic accident"
V4391,"Unspecified car occupant injured in collision with sport utility vehicle in traffic accident"
V4392,"Unspecified car occupant injured in collision with other type car in traffic accident"
V4393,"Unspecified car occupant injured in collision with pick-up truck in traffic accident"
V4394,"Unspecified car occupant injured in collision with van in traffic accident"
V44,"Car occupant injured in collision with heavy transport vehicle or bus"
V440,"Car driver injured in collision with heavy transport vehicle or bus in nontraffic accident"
V441,"Car passenger injured in collision with heavy transport vehicle or bus in nontraffic accident"
V442,"Person on outside of car injured in collision with heavy transport vehicle or bus in nontraffic accident"
V443,"Unspecified car occupant injured in collision with heavy transport vehicle or bus in nontraffic accident"
V444,"Person boarding or alighting a car injured in collision with heavy transport vehicle or bus"
V445,"Car driver injured in collision with heavy transport vehicle or bus in traffic accident"
V446,"Car passenger injured in collision with heavy transport vehicle or bus in traffic accident"
V447,"Person on outside of car injured in collision with heavy transport vehicle or bus in traffic accident"
V449,"Unspecified car occupant injured in collision with heavy transport vehicle or bus in traffic accident"
V45,"Car occupant injured in collision with railway train or railway vehicle"
V450,"Car driver injured in collision with railway train or railway vehicle in nontraffic accident"
V451,"Car passenger injured in collision with railway train or railway vehicle in nontraffic accident"
V452,"Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident"
V453,"Unspecified car occupant injured in collision with railway train or railway vehicle in nontraffic accident"
V454,"Person boarding or alighting a car injured in collision with railway train or railway vehicle"
V455,"Car driver injured in collision with railway train or railway vehicle in traffic accident"
V456,"Car passenger injured in collision with railway train or railway vehicle in traffic accident"
V457,"Person on outside of car injured in collision with railway train or railway vehicle in traffic accident"
V459,"Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident"
V46,"Car occupant injured in collision with other nonmotor vehicle"
V460,"Car driver injured in collision with other nonmotor vehicle in nontraffic accident"
V461,"Car passenger injured in collision with other nonmotor vehicle in nontraffic accident"
V462,"Person on outside of car injured in collision with other nonmotor vehicle in nontraffic accident"
V463,"Unspecified car occupant injured in collision with other nonmotor vehicle in nontraffic accident"
V464,"Person boarding or alighting a car injured in collision with other nonmotor vehicle"
V465,"Car driver injured in collision with other nonmotor vehicle in traffic accident"
V466,"Car passenger injured in collision with other nonmotor vehicle in traffic accident"
V467,"Person on outside of car injured in collision with other nonmotor vehicle in traffic accident"
V469,"Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident"
V47,"Car occupant injured in collision with fixed or stationary object"
V470,"Car driver injured in collision with fixed or stationary object in nontraffic accident"
V471,"Car passenger injured in collision with fixed or stationary object in nontraffic accident"
V472,"Person on outside of car injured in collision with fixed or stationary object in nontraffic accident"
V473,"Unspecified car occupant injured in collision with fixed or stationary object in nontraffic accident"
V474,"Person boarding or alighting a car injured in collision with fixed or stationary object"
V475,"Car driver injured in collision with fixed or stationary object in traffic accident"
V476,"Car passenger injured in collision with fixed or stationary object in traffic accident"
V477,"Person on outside of car injured in collision with fixed or stationary object in traffic accident"
V479,"Unspecified car occupant injured in collision with fixed or stationary object in traffic accident"
V48,"Car occupant injured in noncollision transport accident"
V480,"Car driver injured in noncollision transport accident in nontraffic accident"
V481,"Car passenger injured in noncollision transport accident in nontraffic accident"
V482,"Person on outside of car injured in noncollision transport accident in nontraffic accident"
V483,"Unspecified car occupant injured in noncollision transport accident in nontraffic accident"
V484,"Person boarding or alighting a car injured in noncollision transport accident"
V485,"Car driver injured in noncollision transport accident in traffic accident"
V486,"Car passenger injured in noncollision transport accident in traffic accident"
V487,"Person on outside of car injured in noncollision transport accident in traffic accident"
V489,"Unspecified car occupant injured in noncollision transport accident in traffic accident"
V49,"Car occupant injured in other and unspecified transport accidents"
V490,"Driver injured in collision with other and unspecified motor vehicles in nontraffic accident"
V4900,"Driver injured in collision with unspecified motor vehicles in nontraffic accident"
V4909,"Driver injured in collision with other motor vehicles in nontraffic accident"
V491,"Passenger injured in collision with other and unspecified motor vehicles in nontraffic accident"
V4910,"Passenger injured in collision with unspecified motor vehicles in nontraffic accident"
V4919,"Passenger injured in collision with other motor vehicles in nontraffic accident"
V492,"Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident"
V4920,"Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident"
V4929,"Unspecified car occupant injured in collision with other motor vehicles in nontraffic accident"
V493,"Car occupant (driver) (passenger) injured in unspecified nontraffic accident"
V494,"Driver injured in collision with other and unspecified motor vehicles in traffic accident"
V4940,"Driver injured in collision with unspecified motor vehicles in traffic accident"
V4949,"Driver injured in collision with other motor vehicles in traffic accident"
V495,"Passenger injured in collision with other and unspecified motor vehicles in traffic accident"
V4950,"Passenger injured in collision with unspecified motor vehicles in traffic accident"
V4959,"Passenger injured in collision with other motor vehicles in traffic accident"
V496,"Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident"
V4960,"Unspecified car occupant injured in collision with unspecified motor vehicles in traffic accident"
V4969,"Unspecified car occupant injured in collision with other motor vehicles in traffic accident"
V498,"Car occupant (driver) (passenger) injured in other specified transport accidents"
V4981,"Car occupant (driver) (passenger) injured in transport accident with military vehicle"
V4988,"Car occupant (driver) (passenger) injured in other specified transport accidents"
V499,"Car occupant (driver) (passenger) injured in unspecified traffic accident"
V50,"Occupant of pick-up truck or van injured in collision with pedestrian or animal"
V500,"Driver of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident"
V501,"Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident"
V502,"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident"
V503,"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident"
V504,"Person boarding or alighting a pick-up truck or van injured in collision with pedestrian or animal"
V505,"Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident"
V506,"Passenger in pick-up truck or van injured in collision with pedestrian or animal in traffic accident"
V507,"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in traffic accident"
V509,"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in traffic accident"
V51,"Occupant of pick-up truck or van injured in collision with pedal cycle"
V510,"Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident"
V511,"Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident"
V512,"Person on outside of pick-up truck or van injured in collision with pedal cycle in nontraffic accident"
V513,"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in nontraffic accident"
V514,"Person boarding or alighting a pick-up truck or van injured in collision with pedal cycle"
V515,"Driver of pick-up truck or van injured in collision with pedal cycle in traffic accident"
V516,"Passenger in pick-up truck or van injured in collision with pedal cycle in traffic accident"
V517,"Person on outside of pick-up truck or van injured in collision with pedal cycle in traffic accident"
V519,"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in traffic accident"
V52,"Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle"
V520,"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V521,"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V522,"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V523,"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V524,"Person boarding or alighting a pick-up truck or van injured in collision with two- or three-wheeled motor vehicle"
V525,"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V526,"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V527,"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V529,"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
V530,"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V531,"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V532,"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V533,"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V534,"Person boarding or alighting a pick-up truck or van injured in collision with car, pick-up truck or van"
V535,"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V536,"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V537,"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V539,"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V54,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus"
V540,"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident"
V541,"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident"
V542,"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident"
V543,"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident"
V544,"Person boarding or alighting a pick-up truck or van injured in collision with heavy transport vehicle or bus"
V545,"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident"
V546,"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident"
V547,"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident"
V549,"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident"
V55,"Occupant of pick-up truck or van injured in collision with railway train or railway vehicle"
V550,"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident"
V551,"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident"
V552,"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident"
V553,"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident"
V554,"Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle"
V555,"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident"
V556,"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident"
V557,"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident"
V559,"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident"
V56,"Occupant of pick-up truck or van injured in collision with other nonmotor vehicle"
V560,"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident"
V561,"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident"
V562,"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident"
V563,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident"
V564,"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle"
V565,"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident"
V566,"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident"
V567,"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident"
V569,"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident"
V57,"Occupant of pick-up truck or van injured in collision with fixed or stationary object"
V570,"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident"
V571,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident"
V572,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident"
V573,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident"
V574,"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object"
V575,"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident"
V576,"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident"
V577,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident"
V579,"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident"
V58,"Occupant of pick-up truck or van injured in noncollision transport accident"
V580,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident"
V581,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident"
V582,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident"
V583,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident"
V584,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident"
V585,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident"
V586,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident"
V587,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident"
V589,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident"
V59,"Occupant of pick-up truck or van injured in other and unspecified transport accidents"
V590,"Driver of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident"
V5900,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident"
V5909,"Driver of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident"
V591,"Passenger in pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident"
V5910,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident"
V5919,"Passenger in pick-up truck or van injured in collision with other motor vehicles in nontraffic accident"
V592,"Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in nontraffic accident"
V5920,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in nontraffic accident"
V5929,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in nontraffic accident"
V593,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified nontraffic accident"
V594,"Driver of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident"
V5940,"Driver of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident"
V5949,"Driver of pick-up truck or van injured in collision with other motor vehicles in traffic accident"
V595,"Passenger in pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident"
V5950,"Passenger in pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident"
V5959,"Passenger in pick-up truck or van injured in collision with other motor vehicles in traffic accident"
V596,"Unspecified occupant of pick-up truck or van injured in collision with other and unspecified motor vehicles in traffic accident"
V5960,"Unspecified occupant of pick-up truck or van injured in collision with unspecified motor vehicles in traffic accident"
V5969,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident"
V598,"Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents"
V5981,"Occupant (driver) (passenger) of pick-up truck or van injured in transport accident with military vehicle"
V5988,"Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents"
V599,"Occupant (driver) (passenger) of pick-up truck or van injured in unspecified traffic accident"
V60,"Occupant of heavy transport vehicle injured in collision with pedestrian or animal"
V600,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident"
V601,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident"
V602,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident"
V603,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in nontraffic accident"
V604,"Person boarding or alighting a heavy transport vehicle injured in collision with pedestrian or animal"
V605,"Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident"
V606,"Passenger in heavy transport vehicle injured in collision with pedestrian or animal in traffic accident"
V607,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident"
V609,"Unspecified occupant of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident"
V61,"Occupant of heavy transport vehicle injured in collision with pedal cycle"
V610,"Driver of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident"
V611,"Passenger in heavy transport vehicle injured in collision with pedal cycle in nontraffic accident"
V612,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident"
V613,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in nontraffic accident"
V614,"Person boarding or alighting a heavy transport vehicle injured in collision with pedal cycle while boarding or alighting"
V615,"Driver of heavy transport vehicle injured in collision with pedal cycle in traffic accident"
V616,"Passenger in heavy transport vehicle injured in collision with pedal cycle in traffic accident"
V617,"Person on outside of heavy transport vehicle injured in collision with pedal cycle in traffic accident"
V619,"Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident"
V62,"Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle"
V620,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V621,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V622,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V623,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident"
V624,"Person boarding or alighting a heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle"
V625,"Driver of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V626,"Passenger in heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V627,"Person on outside of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V629,"Unspecified occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident"
V63,"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van"
V630,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V631,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V632,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V633,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in nontraffic accident"
V634,"Person boarding or alighting a heavy transport vehicle injured in collision with car, pick-up truck or van"
V635,"Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V636,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V637,"Person on outside of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V639,"Unspecified occupant of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident"
V64,"Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus"
V640,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident"
V641,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident"
V642,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident"
V643,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident"
V644,"Person boarding or alighting a heavy transport vehicle injured in collision with heavy transport vehicle or bus while boarding or alighting"
V645,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident"
V646,"Passenger in heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident"
V647,"Person on outside of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident"
V649,"Unspecified occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident"
V65,"Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle"
V650,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident"
V651,"Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident"
V652,"Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident"
V653,"Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in nontraffic accident"
V654,"Person boarding or alighting a heavy transport vehicle injured in collision with railway train or railway vehicle"
V655,"Driver of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident"
V656,"Passenger in heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident"
V657,"Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident"
V659,"Unspecified occupant of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident"
V66,"Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle"
V660,"Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident"
V661,"Passenger in heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident"
V662,"Person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident"
V663,"Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in nontraffic accident"
V664,"Person boarding or alighting a heavy transport vehicle injured in collision with other nonmotor vehicle"
V665,"Driver of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident"
V666,"Passenger in heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident"
V667,"Person on outside of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident"
V669,"Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident"
V67,"Occupant of heavy transport vehicle injured in collision with fixed or stationary object"
V670,"Driver of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident"
V671,"Passenger in heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident"
V672,"Person on outside of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident"
V673,"Unspecified occupant of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident"
V674,"Person boarding or alighting a heavy transport vehicle injured in collision with fixed or stationary object"
V675,"Driver of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident"
V676,"Passenger in heavy transport vehicle injured in collision with fixed or stationary object in traffic accident"
V677,"Person on outside of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident"
V679,"Unspecified occupant of heavy transport vehicle injured in collision with fixed or stationary object in traffic accident"
V68,"Occupant of heavy transport vehicle injured in noncollision transport accident"
V680,"Driver of heavy transport vehicle injured in noncollision transport accident in nontraffic accident"
V681,"Passenger in heavy transport vehicle injured in noncollision transport accident in nontraffic accident"
V682,"Person on outside of heavy transport vehicle injured in noncollision transport accident in nontraffic accident"
V683,"Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in nontraffic accident"
V684,"Person boarding or alighting a heavy transport vehicle injured in noncollision transport accident"
V685,"Driver of heavy transport vehicle injured in noncollision transport accident in traffic accident"
V686,"Passenger in heavy transport vehicle injured in noncollision transport accident in traffic accident"
V687,"Person on outside of heavy transport vehicle injured in noncollision transport accident in traffic accident"
V689,"Unspecified occupant of heavy transport vehicle injured in noncollision transport accident in traffic accident"
V69,"Occupant of heavy transport vehicle injured in other and unspecified transport accidents"
V690,"Driver of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident"
V6900,"Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident"
V6909,"Driver of heavy transport vehicle injured in collision with other motor vehicles in nontraffic accident"
V691,"Passenger in heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident"
V6910,"Passenger in heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident"
V6919,"Passenger in heavy transport vehicle injured in collision with other motor vehicles in nontraffic accident"
V692,"Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in nontraffic accident"
V6920,"Unspecified occupant of heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident"
V6929,"Unspecified occupant of heavy transport vehicle injured in collision with other motor vehicles in nontraffic accident"
V693,"Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified nontraffic accident"
V694,"Driver of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident"
V6940,"Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident"
V6949,"Driver of heavy transport vehicle injured in collision with other motor vehicles in traffic accident"
V695,"Passenger in heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident"
V6950,"Passenger in heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident"
V6959,"Passenger in heavy transport vehicle injured in collision with other motor vehicles in traffic accident"
V696,"Unspecified occupant of heavy transport vehicle injured in collision with other and unspecified motor vehicles in traffic accident"
V6960,"Unspecified occupant of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident"
V6969,"Unspecified occupant of heavy transport vehicle injured in collision with other motor vehicles in traffic accident"
V698,"Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents"
V6981,"Occupant (driver) (passenger) of heavy transport vehicle injured in transport accidents with military vehicle"
V6988,"Occupant (driver) (passenger) of heavy transport vehicle injured in other specified transport accidents"
V699,"Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified traffic accident"
V70,"Bus occupant injured in collision with pedestrian or animal"
V700,"Driver of bus injured in collision with pedestrian or animal in nontraffic accident"
V701,"Passenger on bus injured in collision with pedestrian or animal in nontraffic accident"
V702,"Person on outside of bus injured in collision with pedestrian or animal in nontraffic accident"
V703,"Unspecified occupant of bus injured in collision with pedestrian or animal in nontraffic accident"
V704,"Person boarding or alighting from bus injured in collision with pedestrian or animal"
V705,"Driver of bus injured in collision with pedestrian or animal in traffic accident"
V706,"Passenger on bus injured in collision with pedestrian or animal in traffic accident"
V707,"Person on outside of bus injured in collision with pedestrian or animal in traffic accident"
V709,"Unspecified occupant of bus injured in collision with pedestrian or animal in traffic accident"
V71,"Bus occupant injured in collision with pedal cycle"
V710,"Driver of bus injured in collision with pedal cycle in nontraffic accident"
V711,"Passenger on bus injured in collision with pedal cycle in nontraffic accident"
V712,"Person on outside of bus injured in collision with pedal cycle in nontraffic accident"
V713,"Unspecified occupant of bus injured in collision with pedal cycle in nontraffic accident"
V714,"Person boarding or alighting from bus injured in collision with pedal cycle"
V715,"Driver of bus injured in collision with pedal cycle in traffic accident"
V716,"Passenger on bus injured in collision with pedal cycle in traffic accident"
